Datetime,pm25,dew_temp,pbl,surface_air_temp,surface_pressure,surface_skin_temp,surface_wind_temp,surface_precipitation
2003-11-30,8.24,15.038280847735159,1162.2462617180365,23.122186984292238,916.1714474070776,24.234643720694066,4.889490920616438,0.1538209926452055
2003-12-31,9.18,15.07034097136758,1158.1558048173517,23.09098132547945,916.1859349952055,24.19856798368037,4.890748042808219,0.1554599384892694
2004-01-31,11.8,15.102401095,1154.0653479166667,23.059775666666667,916.2004225833333,24.16249224666667,4.892005165,0.15709888433333333
2004-02-29,15.8,15.074745144503643,1159.4701944118854,23.1057383424408,916.1899625368852,24.213231052745904,4.891287681493624,0.15419325906625683
2004-03-31,18.5,15.045181887076502,1165.2477889412569,23.1548708579235,916.1787811079234,24.267469086830605,4.89052071636612,0.15108724584972677
2004-04-30,6.18,15.016572283114753,1170.8390094535519,23.20241845355191,916.1679603702186,24.31995750691257,4.88977849204918,0.1480814266079235
2004-05-31,9.28,14.987009025687614,1176.6166039829236,23.251550969034607,916.1567789412568,24.37419554099727,4.889011526921675,0.14497541339139344
2004-06-30,10.5,14.958399421725865,1182.2078244952186,23.299098564663023,916.1459582035519,24.426683961079238,4.888269302604735,0.14196959414959015
2004-07-31,12.9,14.928836164298724,1187.98541902459,23.34823108014572,916.1347767745901,24.480921995163936,4.887502337477231,0.13886358093306012
2004-08-31,15.5,14.899272906871584,1193.7630135539616,23.397363595628413,916.1235953456285,24.535160029248637,4.886735372349727,0.13575756771653005
2004-09-30,11.46275362,14.870663302909836,1199.3542340662568,23.44491119125683,916.1127746079235,24.587648449330604,4.885993148032787,0.1327517484747268
2004-10-31,9.92,14.841100045482696,1205.1318285956283,23.494043706739525,916.1015931789618,24.641886483415302,4.885226182905282,0.12964573525819673
2004-11-30,8.54,14.812490441520948,1210.7230491079235,23.54159130236794,916.0907724412568,24.69437490349727,4.884483958588342,0.12663991601639346
2004-12-31,11.2,14.782927184093808,1216.500643637295,23.590723817850634,916.0795910122952,24.748612937581967,4.883716993460838,0.1235339027998634
2005-01-31,11.46275362,14.753363926666667,1222.2782381666666,23.63985633333333,916.0684095833334,24.80285097166667,4.882950028333333,0.12042788958333334
2005-02-28,11.9,14.786379515077627,1215.731231794064,23.597653393424654,916.0655592089041,24.757984570114157,4.875179582890411,0.12359780336872146
2005-03-31,11.46275362,14.822932487961188,1208.482760452968,23.550928709954334,916.0624034372147,24.70831105410959,4.866576589721461,0.12710735077397262
2005-04-30,6.73,14.858306332687215,1201.4681107680365,23.505711274337898,916.059349464612,24.66023990958904,4.858251112461187,0.13050368697260273
2005-05-31,7.27,14.894859305570778,1194.2196394269406,23.45898659086758,916.0561936929224,24.610566393584477,4.849648119292238,0.13401323437785387
2005-06-30,11.46275362,14.930233150296804,1187.204989742009,23.413769155251142,916.0531397203197,24.56249524906393,4.8413226420319635,0.137409570576484
2005-07-31,14.0,14.966786123180366,1179.9565184009132,23.367044471780822,916.0499839486301,24.51282173305936,4.832719648863014,0.14091911798173515
2005-08-31,18.5,15.003339096063929,1172.7080470598173,23.320319788310503,916.0468281769406,24.463148217054798,4.824116655694064,0.1444286653869863
2005-09-30,15.9,15.038712940789955,1165.6933973748858,23.275102352694063,916.0437742043379,24.41507707253425,4.81579117843379,0.14782500158561643
2005-10-31,10.6,15.075265913673517,1158.44492603379,23.228377669223743,916.0406184326484,24.36540355652968,4.80718818526484,0.15133454899086757
2005-11-30,11.46275362,15.110639758399545,1151.4302763488583,23.183160233607307,916.0375644600456,24.317332412009133,4.798862708004567,0.1547308851894977
